trade_date,trade_code,exchange
2024.11.14,J2411,DCE
2024.09.25,EG2409,DCE
2024.09.13,I2409,DCE
2024.09.13,L2409,DCE
2024.11.14,P2411,DCE
2024.10.28,EG2410,DCE
2024.12.13,B2412,DCE
2024.09.13,J2409,DCE
2024.11.14,RR2411,DCE
2024.09.13,V2409,DCE
2025.01.15,B2501,DCE
2024.09.13,M2409,DCE
2024.10.21,J2410,DCE
2024.09.25,EB2409,DCE
2024.09.13,Y2409,DCE
2025.01.15,C2501,DCE
2024.12.13,L2412,DCE
2024.12.13,P2412,DCE
2024.09.13,P2409,DCE
2025.01.15,V2501,DCE
2024.12.26,PG2412,DCE
2024.10.21,RR2410,DCE
2024.10.21,L2410,DCE
2024.09.25,LH2409,DCE
2025.01.15,Y2501,DCE
2025.01.15,J2501,DCE
2024.12.13,M2412,DCE
2024.08.14,M2408,DCE
2024.12.13,PP2412,DCE
2024.11.14,PP2411,DCE
2024.08.14,L2408,DCE
2024.12.13,V2412,DCE
2024.09.13,B2409,DCE
2024.08.27,JD2408,DCE
2024.08.27,EB2408,DCE
2024.10.28,EB2410,DCE
2024.08.14,J2408,DCE
2024.11.14,A2411,DCE
2024.12.13,JM2412,DCE
2025.01.15,M2501,DCE
2024.12.26,EB2412,DCE
2024.11.26,PG2411,DCE
2024.09.25,JD2409,DCE
2024.11.14,I2411,DCE
2024.12.13,J2412,DCE
2024.09.13,CS2409,DCE
2024.12.26,EG2412,DCE
2024.12.13,RR2412,DCE
2024.08.14,FB2408,DCE
2024.08.14,B2408,DCE
2024.11.26,EG2411,DCE
2025.01.15,A2501,DCE
2024.10.21,FB2410,DCE
2024.12.26,JD2412,DCE
2025.01.15,CS2501,DCE
2024.11.14,V2411,DCE
2024.12.13,I2412,DCE
2024.11.26,JD2411,DCE
2025.01.15,FB2501,DCE
2024.11.14,CS2411,DCE
2024.12.13,FB2412,DCE
2024.11.14,M2411,DCE
2024.10.21,JM2410,DCE
2024.08.14,P2408,DCE
2024.12.13,Y2412,DCE
2024.08.14,V2408,DCE
2024.09.13,RR2409,DCE
2024.08.14,BB2408,DCE
2024.09.13,PP2409,DCE
2024.10.21,V2410,DCE
2024.11.26,EB2411,DCE
2024.08.14,PP2408,DCE
2025.01.15,BB2501,DCE
2024.11.14,C2411,DCE
2024.08.14,JM2408,DCE
2025.01.15,JM2501,DCE
2025.01.15,I2501,DCE
2025.01.15,PP2501,DCE
2024.10.21,I2410,DCE
2025.01.15,L2501,DCE
2024.11.14,FB2411,DCE
2024.09.13,C2409,DCE
2024.11.14,B2411,DCE
2024.10.21,P2410,DCE
2024.11.26,LH2411,DCE
2024.11.14,L2411,DCE
2024.10.21,PP2410,DCE
2024.09.13,FB2409,DCE
2024.11.14,BB2411,DCE
2024.10.21,B2410,DCE
2024.09.13,JM2409,DCE
2024.08.14,RR2408,DCE
2024.12.13,BB2412,DCE
2024.08.27,EG2408,DCE
2024.10.28,JD2410,DCE
2024.08.14,I2408,DCE
2024.09.13,A2409,DCE
2024.11.14,Y2411,DCE
2024.08.27,PG2408,DCE
2025.01.28,EB2501,DCE
2025.01.28,JD2501,DCE
2025.01.28,EG2501,DCE
2025.01.28,PG2501,DCE
2025.01.28,LH2501,DCE
2025.03.14,FB2503,DCE
2025.03.14,Y2503,DCE
2025.03.14,CS2503,DCE
2025.03.14,J2503,DCE
2025.03.14,BB2503,DCE
2025.03.14,M2503,DCE
2025.03.14,L2503,DCE
2025.03.14,PP2503,DCE
2025.03.14,C2503,DCE
2025.03.14,B2503,DCE
2025.03.14,RR2503,DCE
2025.03.14,V2503,DCE
2025.03.14,P2503,DCE
2025.03.14,I2503,DCE
2025.03.14,JM2503,DCE
2025.03.14,A2503,DCE
2025.02.24,V2502,DCE
2025.02.24,B2502,DCE
2025.02.24,L2502,DCE
2025.02.24,I2502,DCE
2025.02.24,FB2502,DCE
2025.02.24,J2502,DCE
2025.02.24,RR2502,DCE
2025.02.24,JM2502,DCE
2025.02.24,P2502,DCE
2025.02.24,BB2502,DCE
2025.02.24,PP2502,DCE
2025.02.25,JD2502,DCE
2025.02.25,EG2502,DCE
2025.02.25,PG2502,DCE
2025.02.25,EB2502,DCE
2025.03.26,EB2503,DCE
2025.03.26,EG2503,DCE
2025.03.26,PG2503,DCE
2025.03.26,LH2503,DCE
2025.03.26,JD2503,DCE
2025.04.15,V2504,DCE
2025.04.15,L2504,DCE
2025.04.15,BB2504,DCE
2025.04.15,J2504,DCE
2025.04.15,B2504,DCE
2025.04.15,RR2504,DCE
2025.04.15,FB2504,DCE
2025.04.15,I2504,DCE
2025.04.15,JM2504,DCE
2025.04.15,PP2504,DCE
2025.04.15,P2504,DCE
2025.04.25,JD2504,DCE
2025.04.25,EG2504,DCE
2025.04.25,EB2504,DCE
2025.04.25,PG2504,DCE
2025.05.15,B2505,DCE
2025.05.15,A2505,DCE
2025.05.15,I2505,DCE
2025.05.15,C2505,DCE
2025.05.15,J2505,DCE
2025.05.15,CS2505,DCE
2025.05.15,L2505,DCE
2025.05.15,FB2505,DCE
2025.05.15,M2505,DCE
2025.05.15,P2505,DCE
2025.05.15,V2505,DCE
2025.05.15,PP2505,DCE
2025.05.15,JM2505,DCE
2025.05.15,Y2505,DCE
2025.05.15,RR2505,DCE
2025.01.15,LC2501,GFE
2024.08.14,LC2408,GFE
2024.11.14,LC2411,GFE
2024.08.14,SI2408,GFE
2024.09.13,SI2409,GFE
2024.10.21,LC2410,GFE
2024.12.13,LC2412,GFE
2024.09.13,LC2409,GFE
2024.10.21,SI2410,GFE
2025.02.24,LC2502,GFE
2024.11.14,SI2411,GFE
2025.03.14,LC2503,GFE
2024.12.13,SI2412,GFE
2025.04.15,LC2504,GFE
2025.05.15,LC2505,GFE
2025.01.15,SI2501,GFE
2025.02.17,SI2502,GFE
2025.03.14,SI2503,GFE
2025.04.15,SI2504,GFE
2025.05.15,SI2505,GFE
2024.08.15,NR2408,INE
2025.01.15,BC2501,INE
2024.09.18,NR2409,INE
2024.12.31,SC2501,INE
2024.12.31,LU2501,INE
2024.11.29,SC2412,INE
2024.08.15,BC2408,INE
2024.09.30,LU2410,INE
2024.10.31,LU2411,INE
2024.11.15,NR2411,INE
2026.11.30,SC2612,INE
2024.08.30,LU2409,INE
2024.11.29,LU2412,INE
2024.11.15,BC2411,INE
2024.09.18,BC2409,INE
2025.01.15,NR2501,INE
2026.05.29,SC2606,INE
2024.09.30,SC2410,INE
2024.10.15,NR2410,INE
2024.10.15,BC2410,INE
2024.10.31,SC2411,INE
2024.08.26,EC2408,INE
2024.10.28,EC2410,INE
2024.12.30,EC2412,INE
2025.11.28,SC2512,INE
2026.08.31,SC2609,INE
2024.08.30,SC2409,INE
2024.12.16,NR2412,INE
2025.05.30,SC2506,INE
2024.12.16,BC2412,INE
2026.02.27,SC2603,INE
2025.02.28,SC2503,INE
2025.08.29,SC2509,INE
2025.01.31,LU2502,INE
2025.01.31,SC2502,INE
2025.02.17,NR2502,INE
2025.02.17,BC2502,INE
2025.02.28,LU2503,INE
2027.02.26,SC2703,INE
2025.02.24,EC2502,INE
2025.03.17,BC2503,INE
2025.03.17,NR2503,INE
2025.03.31,LU2504,INE
