TRADE_DT,B_ANAL_CURVENUMBER,B_ANAL_CURVETERM,B_ANAL_YIELD
2022.01.01,1051,1.1,7.084500000000001
2022.01.01,1051,1.2,7.1262
2022.01.01,1051,1.3,7.1667
2022.01.01,1051,1.4,7.206500000000001
2022.01.01,1051,1.5,7.245600000000002
2022.01.01,1051,1.6,7.2844
2022.01.01,1051,1.7,7.323000000000001
2022.01.01,1051,1.8,7.3617
2022.01.01,1051,1.9,7.400700000000002
2022.01.01,1051,2,7.440200000000001
2022.01.01,1051,2.1,7.478000000000001
2022.01.01,1051,2.2,7.5119
2022.01.01,1051,2.3,7.5427
2022.01.01,1051,2.4,7.571100000000002
2022.01.01,1051,2.5,7.5977
2022.01.01,1051,2.6,7.6231
2022.01.01,1051,2.7,7.648100000000001
2022.01.01,1051,2.8,7.673300000000002
2022.01.01,1051,2.9,7.6995
2022.01.01,1051,3,7.7272
2022.01.01,1051,3.1,7.7611
2022.01.01,1051,3.2,7.8043
2022.01.01,1051,3.3,7.855100000000001
2022.01.01,1051,3.4,7.912
2022.01.01,1051,3.5,7.973300000000001
2022.01.01,1051,3.6,8.037299999999998
2022.01.01,1051,3.7,8.102400000000001
2022.01.01,1051,3.8,8.166999999999999
2022.01.01,1051,3.9,8.2294
2022.01.01,1051,4,8.287899999999998
2022.01.01,1051,4.1,8.338199999999998
2022.01.01,1051,4.200000000000001,8.378199999999999
2022.01.01,1051,4.3,8.409600000000001
2022.01.01,1051,4.400000000000002,8.434299999999998
2022.01.01,1051,4.5,8.4542
2022.01.01,1051,4.6,8.471099999999999
2022.01.01,1051,4.700000000000001,8.4867
2022.01.01,1051,4.8,8.5029
2022.01.01,1051,4.900000000000002,8.521599999999999
2022.01.01,1051,5,8.544499999999999
2022.01.01,1052,0,6.564099999999999
2022.01.01,1052,0.02,6.5622
2022.01.01,1052,0.04,6.624799999999999
2022.01.01,1052,0.08,6.738100000000002
2022.01.01,1052,0.1,6.730500000000001
2022.01.01,1052,0.17,6.6646
2022.01.01,1052,0.2,6.666999999999999
2022.01.01,1052,0.25,6.674000000000001
2022.01.01,1052,0.3,6.6867
2022.01.01,1052,0.4,6.740600000000001
2022.01.01,1052,0.5,6.8007
2022.01.01,1052,0.6,6.8527
2022.01.01,1052,0.7,6.906000000000001
2022.01.01,1052,0.75,6.9325
2022.01.01,1052,0.8,6.957200000000002
2022.01.01,1052,0.9,7.0001
2022.01.01,1052,1,7.041600000000001
2022.01.01,1052,1.1,7.0843
2022.01.01,1052,1.2,7.125099999999999
2022.01.01,1052,1.3,7.1645
2022.01.01,1052,1.4,7.2028
2022.01.01,1052,1.5,7.240300000000002
2022.01.01,1052,1.6,7.277200000000001
2022.01.01,1052,1.7,7.313900000000001
2022.01.01,1052,1.8,7.3507
2022.01.01,1052,1.9,7.387900000000001
2022.01.01,1052,2,7.425900000000001
2022.01.01,1052,2.1,7.462200000000001
2022.01.01,1052,2.2,7.494500000000001
2022.01.01,1052,2.3,7.5237
2022.01.01,1052,2.4,7.5503
2022.01.01,1052,2.5,7.575200000000001
2022.01.01,1052,2.6,7.5988
2022.01.01,1052,2.7,7.621999999999999
2022.01.01,1052,2.8,7.645500000000001
2022.01.01,1052,2.9,7.669800000000001
2022.01.01,1052,3,7.695800000000001
2022.01.01,1052,3.1,7.7272
2022.01.01,1052,3.2,7.7664
2022.01.01,1052,3.3,7.8121
2022.01.01,1052,3.4,7.862899999999999
2022.01.01,1052,3.5,7.9174
2022.01.01,1052,3.6,7.974200000000001
2022.01.01,1052,3.7,8.031899999999998
2022.01.01,1052,3.8,8.0891
2022.01.01,1052,3.9,8.144499999999997
2022.01.01,1052,4,8.196699999999999
2022.01.01,1052,4.1,8.241599999999998
2022.01.01,1052,4.200000000000001,8.277299999999998
2022.01.01,1052,4.3,8.305400000000002
2022.01.01,1052,4.400000000000002,8.3276
2022.01.01,1052,4.5,8.345400000000001
2022.01.01,1052,4.6,8.360500000000001
2022.01.01,1052,4.700000000000001,8.374400000000001
2022.01.01,1052,4.8,8.389000000000001
2022.01.01,1052,4.900000000000002,8.405700000000001
2022.01.01,1052,5,8.426199999999999
2022.01.01,1061,0,10.904099999999999
2022.01.01,1061,0.02,10.9022
2022.01.01,1061,0.04,10.9648
2022.01.01,1061,0.08,11.078099999999999
2022.01.01,1061,0.1,11.070499999999999
2022.01.01,1061,0.17,11.004599999999999
2022.01.01,1061,0.2,11.006999999999999
2022.01.01,1061,0.25,11.013999999999999
2022.01.01,1061,0.3,11.026699999999999
2022.01.01,1061,0.4,11.0806
2022.01.01,1061,0.5,11.140699999999997
2022.01.01,1061,0.6,11.1927
2022.01.01,1061,0.7,11.245999999999998
2022.01.01,1061,0.75,11.2725
2022.01.01,1061,0.8,11.297199999999998
2022.01.01,1061,0.9,11.340099999999999
2022.01.01,1061,1,11.3816
2022.01.01,1061,1.1,11.424699999999999
2022.01.01,1061,1.2,11.466799999999999
2022.01.01,1061,1.3,11.507999999999999
2022.01.01,1061,1.4,11.548599999999998
2022.01.01,1061,1.5,11.5888
2022.01.01,1061,1.6,11.628599999999998
2022.01.01,1061,1.7,11.668299999999998
2022.01.01,1061,1.8,11.708099999999998
2022.01.01,1061,1.9,11.748199999999995
2022.01.01,1061,2,11.788599999999998
